customer_state,品类,件数,件均价
SC,eletrodomesticos,25,121.94
SC,instrumentos_musicais,25,296.26
SC,livros_interesse_geral,23,82.18
SC,alimentos,16,46.72
SC,construcao_ferramentas_iluminacao,16,93.7
SC,eletrodomesticos_2,16,393.27
SC,industria_comercio_e_negocios,16,91.93
SC,bebidas,14,63.71
SC,market_place,14,103.48
SC,artigos_de_natal,13,66.39
SC,construcao_ferramentas_seguranca,13,219.28
SC,moveis_sala,12,177.61
SC,casa_conforto,11,139.66
SC,audio,10,159.26
SC,sinalizacao_e_seguranca,10,61.25
SC,livros_tecnicos,9,101.93
SC,fashion_underwear_e_moda_praia,8,45.9
SC,fashion_calcados,7,107.16
SC,moveis_cozinha_area_de_servico_jantar_e_jardim,7,102.07
SC,telefonia_fixa,7,273.84
SC,artes,6,70.36
SC,construcao_ferramentas_ferramentas,5,99.12
SC,construcao_ferramentas_jardim,5,46.84
SC,pcs,5,1214.0
SC,cine_foto,4,276.72
SC,climatizacao,4,149.9
SC,portateis_casa_forno_e_cafe,4,1188.72
SC,agro_industria_e_comercio,3,356.66
SC,alimentos_bebidas,3,30.23
SC,fashion_esporte,3,56.58
SC,moveis_quarto,3,267.67
SC,artigos_de_festas,2,129.45
SC,dvds_blu_ray,2,22.4
SC,fashion_roupa_masculina,2,44.94
SC,la_cuisine,2,247.0
SC,moveis_colchao_e_estofado,2,59.85
SC,artes_e_artesanato,1,289.49
SC,fashion_roupa_feminina,1,19.9
SC,fashion_roupa_infanto_juvenil,1,39.99
SC,livros_importados,1,24.95
RS,cama_mesa_banho,611,98.27
RS,moveis_decoracao,555,96.89
RS,informatica_acessorios,481,108.9
RS,esporte_lazer,468,109.97
RS,utilidades_domesticas,429,89.43
RS,beleza_saude,427,118.49
RS,telefonia,283,64.38
RS,ferramentas_jardim,281,118.0
RS,cool_stuff,259,170.05
RS,relogios_presentes,230,207.99
RS,brinquedos,208,137.86
RS,bebes,206,135.38
RS,automotivo,184,139.9
RS,eletronicos,165,50.78
RS,perfumaria,151,133.26
RS,papelaria,147,86.73
RS,pet_shop,97,112.35
RS,未分类,94,84.0
RS,fashion_bolsas_e_acessorios,80,102.16
RS,moveis_escritorio,66,154.95
RS,consoles_games,58,141.68
RS,malas_acessorios,55,123.09
RS,eletroportateis,45,340.39
RS,eletrodomesticos,44,139.58
RS,casa_construcao,43,174.37
RS,construcao_ferramentas_construcao,43,128.6
RS,instrumentos_musicais,31,239.89
RS,livros_interesse_geral,28,90.74
RS,construcao_ferramentas_iluminacao,24,93.86
RS,moveis_sala,24,149.29
RS,industria_comercio_e_negocios,23,136.85
RS,casa_conforto,21,142.47
RS,market_place,21,94.22
RS,telefonia_fixa,19,126.46
RS,bebidas,17,60.35
RS,sinalizacao_e_seguranca,17,81.91
RS,audio,16,140.32
RS,climatizacao,13,103.41
RS,moveis_cozinha_area_de_servico_jantar_e_jardim,13,151.51
RS,alimentos,12,57.41
RS,cine_foto,12,68.46
RS,eletrodomesticos_2,12,900.02
RS,livros_tecnicos,12,76.13
RS,fashion_calcados,10,74.28
RS,agro_industria_e_comercio,9,350.66
RS,artes,8,72.06
RS,construcao_ferramentas_ferramentas,8,139.17
RS,fashion_roupa_masculina,8,73.61
RS,pcs,8,1068.36
RS,alimentos_bebidas,6,41.5
RS,artigos_de_natal,6,80.82
RS,construcao_ferramentas_jardim,6,161.18
RS,construcao_ferramentas_seguranca,6,107.74
RS,cds_dvds_musicais,5,45.0
RS,artigos_de_festas,4,89.9
RS,dvds_blu_ray,4,38.4
RS,fashion_underwear_e_moda_praia,3,132.6
RS,flores,3,25.2
RS,la_cuisine,3,143.0
RS,portateis_casa_forno_e_cafe,3,164.97
RS,livros_importados,2,68.44
RS,casa_conforto_2,1,109.99
RS,fashion_esporte,1,24.99
RS,moveis_quarto,1,185.0
RS,musica,1,299.0
RS,pc_gamer,1,219.0
RS,portateis_cozinha_e_preparadores_de_alimentos,1,979.0
RS,tablets_impressao_imagem,1,99.0
RR,esporte_lazer,8,168.82
RR,beleza_saude,6,85.12
RR,informatica_acessorios,4,109.45
RR,moveis_decoracao,4,129.52
RR,telefonia,4,25.11
RR,cama_mesa_banho,3,203.23
RR,eletrodomesticos,3,318.06
RR,cool_stuff,2,64.99
RR,eletronicos,2,13.65
RR,ferramentas_jardim,2,105.0
RR,未分类,2,122.99
RR,automotivo,1,219.9
RR,bebes,1,949.9
RR,moveis_escritorio,1,289.9
RR,papelaria,1,39.99
RR,perfumaria,1,244.0
RR,relogios_presentes,1,219.0
RO,beleza_saude,25,283.43
RO,informatica_acessorios,23,90.5
RO,esporte_lazer,19,169.1
RO,telefonia,17,36.48
RO,brinquedos,15,205.27
RO,cama_mesa_banho,15,115.48
RO,relogios_presentes,14,316.3
RO,cool_stuff,13,187.7
RO,moveis_decoracao,13,118.86
RO,automotivo,10,138.92
RO,bebes,10,203.85
RO,fashion_bolsas_e_acessorios,9,70.28
RO,papelaria,8,90.45
RO,pet_shop,8,121.94
RO,ferramentas_jardim,7,79.34
RO,eletronicos,6,40.88
RO,malas_acessorios,6,196.93
RO,moveis_escritorio,6,181.31
RO,perfumaria,6,215.22
RO,未分类,6,96.61
RO,utilidades_domesticas,5,105.19
RO,agro_industria_e_comercio,4,22.0
RO,construcao_ferramentas_construcao,4,343.62
RO,artes,2,74.32
RO,artigos_de_natal,2,69.45
RO,construcao_ferramentas_jardim,2,50.18
RO,eletrodomesticos,2,130.79
RO,pcs,2,1249.95
RO,alimentos,1,98.99
RO,casa_conforto,1,229.0
RO,consoles_games,1,19.9
RO,construcao_ferramentas_seguranca,1,339.9
RO,dvds_blu_ray,1,24.9
RO,eletroportateis,1,99.9
RO,fashion_calcados,1,169.79
RO,industria_comercio_e_negocios,1,79.9
RO,instrumentos_musicais,1,39.9
RO,livros_interesse_geral,1,44.99
RO,market_place,1,149.99
RO,moveis_sala,1,139.9
RO,portateis_casa_forno_e_cafe,1,1999.0
RO,seguros_e_servicos,1,183.29
RN,beleza_saude,57,240.86
RN,relogios_presentes,48,209.43
RN,informatica_acessorios,31,82.62
RN,cama_mesa_banho,30,110.38
RN,moveis_decoracao,29,111.78
RN,livros_interesse_geral,27,53.06
RN,brinquedos,25,78.58
RN,telefonia,25,212.13
RN,utilidades_domesticas,25,75.3
RN,esporte_lazer,22,186.43
RN,cool_stuff,21,180.97
RN,perfumaria,20,142.23
