品类中文,品类,销量,差评率,延迟率,延迟组差评率,准时组差评率,延迟贡献,延迟贡献占比,超额差评件数
moveis_colchao_e_estofado,moveis_colchao_e_estofado,37,18.92,13.51,60.0,12.5,6.42,33.9,2.0
fraldas_higiene,fraldas_higiene,37,21.62,0.0,,21.62,,,
flores,flores,31,6.45,3.23,100.0,3.33,3.12,48.3,1.0
fashion_esporte,fashion_esporte,29,6.9,3.45,0.0,7.14,-0.25,-3.6,-0.0
casa_conforto_2,casa_conforto_2,27,25.93,14.81,75.0,17.39,8.53,32.9,2.0
artes_e_artesanato,artes_e_artesanato,24,12.5,4.17,100.0,8.7,3.8,30.4,1.0
portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,14,28.57,7.14,0.0,30.77,-2.2,-7.7,-0.0
cds_dvds_musicais,cds_dvds_musicais,14,0.0,0.0,,0.0,,,
la_cuisine,la_cuisine,13,23.08,0.0,,23.08,,,
pc_gamer,pc_gamer,8,25.0,0.0,,25.0,,,
fashion_roupa_infanto_juvenil,fashion_roupa_infanto_juvenil,7,0.0,0.0,,0.0,,,
seguros_e_servicos,seguros_e_servicos,2,50.0,0.0,,50.0,,,
